Name,Asignee,Date,Formula,Hidden Properties,Hour Estimate <= 3,Name (attr),Project,Projects Database,State,isInWarning
Complete basic MVP for ScreenTimeHero,,"May 9, 2024","May 9, 2024 6:00 PM",——————————————————-,3,Complete basic MVP for ScreenTimeHero,,,Done,Yes
Implement website blocking UI,,,,——————————————————-,0.5,,Screen Time Hero,,Needs Scheduling,
Make Dnd Characters,,,,,,,,,Done,
Bike Patch Kit,,,,,,,,,Done,
Gutters,,,,,,,,,Done,
Setup Filter Replacements,,,,,,,,,Done,
RSVP Steve + Eila,,,,,,,,,Done,
Car rentals Cottage,,,,,,,,,Done,
"Camping materials, cooking stuff",,,,,,,,,Done,
"Harrys wedding, hotels / driving?",,,,,,,,,Done,
Witch cottage planning,,,,,,,,,Done,
Card for Raph + Baily,,,,,,,,,Done,
Camp Meal planning,,,,,,,,,Done,
Book airbnb Ottawa October,,,,,,,,,Done,
Clean up upstairs closet,,,,,,,,,Done,
"Follow up on Atomic Habits writing ",,,,,,,,,Done,
Fake trees,,,,,,,,,Done,
Plan Steves Cottage,,,,,,,,,Done,
Pay Back Erin,,,,,,,,,Done,
Decide on Cancelled CAA,,,,,,,,,Done,
Plan a warehouse rave in November,,,,,,,,,Done,
Fall walk cemetery,,,,,,,,,Done,
counseling - To book,,,,,,,,,Done,
First Status Check,,,,,,,,,Done,
Second Status Check,,,,,,,,,Done,
Third Status Check,,,,,,,,,Done,
Meal plan for when Erin is busy,,,,,,,,,Done,
Book Car Rental (Steves Cottage),,,,,,,,,Done,
Close wealth simple,,,,,,,,,Done,
upstairs patio cleanup,,,,,,,,,Done,
Erin's birthday,,,,,,,,,Done,
Cancel / switch Virgin,,,,,,,,,Done,
Indoor gym shoes,,,,,,,,,Done,
Dry clean suit,,,,,,,,,Done,
Plan Feb cottage,,,,,,,,,Done,
Fourth Status Check,,,,,,,,,Done,
Help Erin with Apple watch,,,,,,,,,Done,
Cancel Goodlife,,,,,,,,,Done,
Test,,"April 22, 2024 → April 22, 2024","April 22, 2024 6:00 PM",,,Test,,,Done,Yes
Project plan game jam,,"May 14, 2024","May 14, 2024 6:00 PM",——————————————————-,1,Project plan game jam,,,Done,Yes
Player Movement,,,,——————————————————-,1,,Game Jam (May),,Needs Scheduling,
Basic Map + Tilesets,,,,——————————————————-,1,,Game Jam (May),,Needs Scheduling,
"Match 3 System, blocks on map",,,,——————————————————-,3,,Game Jam (May),,Needs Scheduling,
Player can move blocks,,,,,2,,Game Jam (May),,Needs Scheduling,
Enemy pathfinding toward blocks,,,,,2,,Game Jam (May),,Needs Scheduling,
Enemy pickup blocks,,,,,1,,Game Jam (May),,Needs Scheduling,
player can attack enemy,,,,,2,,Game Jam (May),,Needs Scheduling,
Turret that fires at closest enemy,,,,,2,,Game Jam (May),,Needs Scheduling,
Player can spend money to build turret + Ammo,,,,,2,,Game Jam (May),Game Jam: May (Game%20Jam%20May%207c935633209e421fa47ff921c700a405.md),Needs Scheduling,
Complete Designs,,"May 27, 2024","May 27, 2024 6:00 PM",——————————————————-,2,Complete Designs,Screen Time Hero,,Done,Yes
,,,,——————————————————-,,,Screen Time Hero,,Done,
Art Decisions,,,,——————————————————-,,,,,Needs Scheduling,
Work designs into components,,"June 11, 2024","June 11, 2024 6:00 PM",——————————————————-,,Work designs into components,,,Done,Yes
Guitar rimworld song,,,,——————————————————-,,,,,Needs Scheduling,
Organize Week,Justin Lycklama,"September 9, 2024","September 9, 2024 6:00 PM",——————————————,0.5,Organize Week,,,Scheduled,Yes
