Name,Area,Description,Happy hour,Short list,link
Bottega Volo,,Not sure!,,No,
Copa cabana,,,,No,
Brunch at old Mill,,Special event brunch,,No,https://www.oldmilltoronto.com/buffet/
Collective Arts (Dunas + Bathurst),,,,No,https://collectiveartsontario.com/pages/toronto-taproom
Kingyo Fisherman's Market,Cabbagetown,,,No,
Sue Fung dim sum,Chinatown,,,No,
Little Sister brunch,Home,,,No,
Raku,Queen West,,,No,
Rosewood,Chinatown,,,No,
Kintaro Izakaya,Church St,,,No,
Lao Lao bar,Church St,Thai,,No,
Mekan Queen st,Home,,,No,https://www.instagram.com/mekantoronto/?hl=en
Santa Marta Bar y Tapas,Home,,,No,
Lasagne restaurant,,,,No,
Duff's famous wings,,,,No,
Odd Seoul bar Ossington,,Korean Fusion,,No,
DZO Viet beside village genius,Chinatown,,After 9pm,No,https://maps.app.goo.gl/CCUCBC1M3E7g4fv66?g_st=ic
Old York Bar on Wellingon + Niagara,Home,,,No,
Saku,Queen West,Happy hour after 9pm,,No,
Musoshin Ronces ramen,Roncesvalles,Ramen karage,,No,
Cafe landwer,Downtown,Mediterranean brunch,,No,
Henry's Queen dinner date,,,,No,
La bartola college,,Mexican sit down,,No,https://www.labartola.ca/menu
Koh Lipe Thai Kitchen,,,,No,
Pai,Downtown,,,No,
"Chadon beni ",Queen West,Queen and Shaw jerk sit down,,No,
Le select French restaurant,,,,No,
Hokkaido Ramen Santouka,,Ramen,,No,http://www.santouka-canada.com/
Antler,Dundas West,Upscale Steak,,No,https://maps.app.goo.gl/U1LnD6N8rmUjgACS7
