Name,Description,Walking Minutes,link,Short list
Chez Paul,Crêperie,2,https://food.google.com/chooseprovider?restaurantId=/g/11sk38fhx0&g2lbs=AOHF13lJKw1jycr3VusRcqk47mxA6mvvuN88vGkwvdxXExgaez_TJJrJEixE6Wgdfz0r_VCgSGhH04hKGybO2WaOyy3kTSqaqjuALKxZchB2KANskETWRTY%3D&hl=en-CA&gl=ca&ssta=1&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&gei=ROFEZsqOI92jptQPnbOuoAo&ei=ROFEZsqOI92jptQPnbOuoAo&fo_s=OA&opi=89978449&foub=mcpp&orderType=2&sa=X&ved=2ahUKEwjKwMKyiJCGAxXdkYkEHZ2ZC6QQjYwDKAB6BAgiEAg&sei=Capt_DSvKHGGEVxIKUDgFFbh&utm_campaign&utm_source=search,No
"Hot pork beef brisket ",,3,,Yes
La Salumeria Deli Sandwich,Mid Town,120,https://maps.app.goo.gl/V7UJACpBcrUfF8hL7,No
Sushi Dundas and Bathurst,,,,Yes
UFO (Pho),,5,https://food.google.com/chooseprovider?restaurantId=/g/1hc37ns98&g2lbs=AOHF13l36ysEddLtChCnpFwWrEgNmKz_h_GUXSGe5aK2Gb5YavusAE5-AcAdRaJu2-4quQyQT9ca04-sfNHxkQWdgS_NFfevb6JYY2sbeJbPwPwyFKVE4VU%3D&hl=en-CA&gl=ca&ssta=1&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&gei=uOJEZo-KDJrn0PEP1r-Z6As&ei=uOJEZo-KDJrn0PEP1r-Z6As&fo_s=OA&opi=89978449&foub=mcpp&orderType=2&sa=X&ved=2ahUKEwiPxtzjiZCGAxWaMzQIHdZfBr0QjYwDKAB6BAhtEAc&sei=Ca3GSg3djDmVEbFw7AtY61W6&utm_campaign&utm_source=search,No
,,,,No
Rudy,,15,,No
Rosie's burgers,,10,,No
Mattys Pattys,,5,https://food.google.com/chooseprovider?restaurantId=/g/11mvmgy315&g2lbs=AOHF13mnqsM_nh_XOLAkIR-EQHkJDDYx4WUiCmZEQrlBxr_dGMIXJq0DV1yOGzgNW3ypFxgq0cN_GsLSuG4_9PJ4yWS6iQ31Iy8A7F2-cVw42UtU_JHicdo%3D&hl=en-CA&gl=ca&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&gei=e-NEZsbXFtefptQP3f6w-AE&ei=e-NEZsbXFtefptQP3f6w-AE&fo_s=OA&opi=79508299&orderType=1&foub=mcpp&sei=CaND5k8kv9WJEdCD48rNMqvi&utm_campaign&utm_source=tactile,No
Happy burger,,,,Yes
