Name,Completed Date,Status,Tags,Target Date
Payments Refactor,"December 31, 2023",Complete,PM Project,
Lazy Loading Frappe Documents,"June 1, 2024",Complete,Personal Project,
AWS Cloudwatch Logging iOS,"May 1, 2024",Complete,Personal Project,
Backend Structural Changes,"September 30, 2023",Complete,Personal Project,
Contractor Dashboard,,Distant Future,,
user reviews,,Distant Future,,
search filters,,Near Future,Luis Project,
product multi-media,,Distant Future,,
Docker speed investigation,,Near Future,Personal Project,
Python Coding Tools,"November 30, 2023",Complete,Personal Project,
Reuse dynamic content througout mobile pages,"April 1, 2024",Complete,Personal Project,
Favourites iOS,"April 1, 2024",Complete,PM Project,"March 6, 2024"
One Page Checkout,,Distant Future,,
Inventory Valuation,"April 24, 2024",Complete,PM Project,
Public PR for Lazy Loader,,Near Future,Personal Project,
3D secure,"August 9, 2024",Complete,PM Project,"August 15, 2024"
shipping rules,"July 15, 2024",Complete,PM Project,
Buy Again Categories filter,,In Progress,Luis Project,
