Name,Is Active,Projects,Topic Groupings
Cross Stitch,,,Crafts (https://www.notion.so/2f5a1339f88a80f29f57de8d4403788d?pvs=21)
Notion,,,Life (https://www.notion.so/188a1339f88a803d9961c5e89f8df266?pvs=21)
Sketching,,"Draw A Box (https://www.notion.so/113a1339f88a80fca628d161fd07c1b8?pvs=21), Landscape Drawing (https://www.notion.so/106a1339f88a8065bfbef305e5f799cc?pvs=21)",Art (https://www.notion.so/188a1339f88a8069beafe32e3ea5301a?pvs=21)
"Guitar          ",,,Music (https://www.notion.so/188a1339f88a809ab6e1dc16322f0b30?pvs=21)
Digital Music,,,Music (https://www.notion.so/188a1339f88a809ab6e1dc16322f0b30?pvs=21)
Pixel Art,,,Art (https://www.notion.so/188a1339f88a8069beafe32e3ea5301a?pvs=21)
Habit Formation,,Scrolling Replacements (https://www.notion.so/8ff719f6baff414d975b3008149f4542?pvs=21),Life (https://www.notion.so/188a1339f88a803d9961c5e89f8df266?pvs=21)
Relationship,,,Life (https://www.notion.so/188a1339f88a803d9961c5e89f8df266?pvs=21)
"3D Modelling ",,,Art (https://www.notion.so/188a1339f88a8069beafe32e3ea5301a?pvs=21)
Harmonica,,,Music (https://www.notion.so/188a1339f88a809ab6e1dc16322f0b30?pvs=21)
Short Stories,,,Writing (https://www.notion.so/188a1339f88a800a9c3cdf79998bbb72?pvs=21)
DJ,,,Music (https://www.notion.so/188a1339f88a809ab6e1dc16322f0b30?pvs=21)
Travel,,,Life (https://www.notion.so/188a1339f88a803d9961c5e89f8df266?pvs=21)
