Name,Description,Short list,link
Lunch lady of Saigon,,Yes,
imanishi,,Yes,
Tiger Blues,,Yes,
Man of Kent Guinness bar Ossington,,Yes,
Bar isabelle,,Yes,
Public gardens rooftop patio`,,Yes,
Flame sushi,,Yes,
Lee restaurant,,Yes,
Taqueria valienta,,Yes,https://maps.app.goo.gl/WgjgJCHSF66tvpSm6?g_st=com.google.maps.preview.copy
L’avenue brunch,,Yes,
milou on Dundas,"Nice patio, Euro vibe",Yes,
Carolina pizza,,Yes,
Bar vendetta Italian,,Yes,
Old York,,No,
Okonomiyaki house,,No,
Okonomiyaki house,,No,
Antler,Upscale Steak,No,https://maps.app.goo.gl/U1LnD6N8rmUjgACS7
Pai,,No,
"Chadon beni ",Queen and Shaw jerk sit down,No,
Le select French restaurant,,No,
Hokkaido Ramen Santouka,Ramen,No,http://www.santouka-canada.com/
Sushi Momo,,No,
Brunch at old Mill,Special event brunch,No,https://www.oldmilltoronto.com/buffet/
Saku,Happy hour after 9pm,No,
Musoshin Ronces ramen,Ramen karage,No,
Cafe landwer,Mediterranean brunch,No,
Henry's Queen dinner date,,No,
La bartola college,Mexican sit down,No,https://www.labartola.ca/menu
Eataly,,No,
Koh Lipe Thai Kitchen,,No,
Mekan Queen st,,No,https://www.instagram.com/mekantoronto/?hl=en
Santa Marta Bar y Tapas,,No,
Lasagne restaurant,,No,
Duff's famous wings,,No,
Odd Seoul bar Ossington,Korean Fusion,No,
DZO Viet beside village genius,,No,https://maps.app.goo.gl/CCUCBC1M3E7g4fv66?g_st=ic
Old York Bar on Wellingon + Niagara,,No,
Midori ramen,,No,
Sue Fung dim sum,,No,
Little Sister brunch,,No,
Raku,,No,
The swan French diner,,No,
Barkat Indian on Queen,,No,
Rosewood,,No,
Kintaro Izakaya,,No,
Lao Lao bar,Thai,No,
Collective Arts (Dunas + Bathurst),,No,https://collectiveartsontario.com/pages/toronto-taproom
Bottega Volo,Not sure!,No,
Copa cabana,,No,
Kingyo Fisherman's Market,,No,
Mogouya Hand pulled noodles on Queen,,No,
