Name,Area,Description,Happy hour,Short list,link
Collective Arts (Dunas + Bathurst),,,,No,https://collectiveartsontario.com/pages/toronto-taproom
Bottega Volo,,Not sure!,,No,
Copa cabana,,,,No,
Kingyo Fisherman's Market,Cabbagetown,,,No,
Mogouya Hand pulled noodles on Queen,Queen West,,,No,
Sue Fung dim sum,Chinatown,,,No,
Little Sister brunch,Home,,,No,
Raku,Queen West,,,No,
The swan French diner,Queen West,,,No,
Barkat Indian on Queen,Home,,,No,
Carolina pizza,Home,,,Yes,
Rosewood,Chinatown,,,No,
Bar vendetta Italian,Home,,,Yes,
Kintaro Izakaya,Church St,,,No,
Lao Lao bar,Church St,Thai,,No,
Mekan Queen st,Home,,,No,https://www.instagram.com/mekantoronto/?hl=en
Santa Marta Bar y Tapas,Home,,,No,
Lasagne restaurant,,,,No,
Duff's famous wings,,,,No,
Odd Seoul bar Ossington,,Korean Fusion,,No,
DZO Viet beside village genius,Chinatown,,After 9pm,No,https://maps.app.goo.gl/CCUCBC1M3E7g4fv66?g_st=ic
Old York Bar on Wellingon + Niagara,Home,,,No,
Midori ramen,Queen West,,,No,
Sushi Momo,Queen West,,,No,
Brunch at old Mill,,Special event brunch,,No,https://www.oldmilltoronto.com/buffet/
Saku,Queen West,Happy hour after 9pm,,No,
Musoshin Ronces ramen,Roncesvalles,Ramen karage,,No,
Cafe landwer,Downtown,Mediterranean brunch,,No,
Henry's Queen dinner date,,,,No,
La bartola college,,Mexican sit down,,No,https://www.labartola.ca/menu
Eataly,Yorkville,,,No,
Koh Lipe Thai Kitchen,,,,No,
Pai,Downtown,,,No,
"Chadon beni ",Queen West,Queen and Shaw jerk sit down,,No,
Le select French restaurant,,,,No,
Hokkaido Ramen Santouka,,Ramen,,No,http://www.santouka-canada.com/
Antler,Dundas West,Upscale Steak,,No,https://maps.app.goo.gl/U1LnD6N8rmUjgACS7
milou on Dundas,Dundas West,"Nice patio, Euro vibe",,Yes,
L’avenue brunch,The Well,,,Yes,
Okonomiyaki house,Yorkville,,,No,
Taqueria valienta,Dundas West,,,Yes,https://maps.app.goo.gl/WgjgJCHSF66tvpSm6?g_st=com.google.maps.preview.copy
Okonomiyaki house,Downtown,,,No,
Lee restaurant,Queen West,,,Yes,
Old York,Queen West,,,No,
Flame sushi,Downtown,,,Yes,
Public gardens rooftop patio`,Home,,,Yes,
Bar isabelle,,,,Yes,
Man of Kent Guinness bar Ossington,,,,Yes,
Tiger Blues,,,,Yes,
imanishi,,,,Yes,
Lunch lady of Saigon,,,,Yes,
