Name,Assign,Complete,Date Formatted,Due Date,Project,Requires Scheduling
dab: Lesson 2,,No,,,Draw A Box (https://www.notion.so/113a1339f88a80fca628d161fd07c1b8?pvs=21),No
,,No,,,Draw A Box (https://www.notion.so/113a1339f88a80fca628d161fd07c1b8?pvs=21),No
Player Movement,,No,,,Game Jam: May (https://www.notion.so/7c935633209e421fa47ff921c700a405?pvs=21),No
Basic Map + Tilesets,,No,,,Game Jam: May (https://www.notion.so/7c935633209e421fa47ff921c700a405?pvs=21),No
"Match 3 System, blocks on map",,No,,,Game Jam: May (https://www.notion.so/7c935633209e421fa47ff921c700a405?pvs=21),No
Player can move blocks,,No,,,Game Jam: May (https://www.notion.so/7c935633209e421fa47ff921c700a405?pvs=21),No
Enemy pathfinding toward blocks,,No,,,Game Jam: May (https://www.notion.so/7c935633209e421fa47ff921c700a405?pvs=21),No
Enemy pickup blocks,,No,,,Game Jam: May (https://www.notion.so/7c935633209e421fa47ff921c700a405?pvs=21),No
player can attack enemy,,No,,,Game Jam: May (https://www.notion.so/7c935633209e421fa47ff921c700a405?pvs=21),No
Turret that fires at closest enemy,,No,,,Game Jam: May (https://www.notion.so/7c935633209e421fa47ff921c700a405?pvs=21),No
Player can spend money to build turret + Ammo,,No,,,Game Jam: May (https://www.notion.so/7c935633209e421fa47ff921c700a405?pvs=21),No
Aloette,,No,,,,No
Dark List,,No,,,,No
Look at your 2nd journal notes,,No,,,Game Jam: May (https://www.notion.so/7c935633209e421fa47ff921c700a405?pvs=21),No
Moving On (Rimworld),,No,,,,No
Copy youtube sketches,,No,,,Landscape Drawing (https://www.notion.so/106a1339f88a8065bfbef305e5f799cc?pvs=21),No
Lesson: Chapter 1,,No,,,,No
Tutorial,,No,,,Landscape Drawing (https://www.notion.so/106a1339f88a8065bfbef305e5f799cc?pvs=21),No
Calm Set (Soundscapes),,No,,,,No
Easy Loops,,No,,,,No
Rambling through the avenues of time,,No,,,,No
How to Draw Rocks,,No,,,Landscape Drawing (https://www.notion.so/106a1339f88a8065bfbef305e5f799cc?pvs=21),No
Try Crate Hackers,,No,,,,No
Setup Crate Hackers,,No,,"December 17, 2025 → December 26, 2025",,No
Pick Classes,,No,,"December 18, 2025 → December 31, 2025",,No
